,ID_F,ID_H_x,assay_chembl_id,value_F,type_H,value_H
0,CHEMBL3403099,CHEMBL3403090,CHEMBL3405909,11.0,IC50,45.0
11,CHEMBL3403134,CHEMBL3317729,CHEMBL3405909,172.0,IC50,46.0
20,CHEMBL94641,CHEMBL327491,CHEMBL688289,1.9,IC50,0.86
37,CHEMBL3403255,CHEMBL3403242,CHEMBL3405734,1.78,IC50,17.26
50,CHEMBL3403255,CHEMBL3403242,CHEMBL3405737,0.78,IC50,9.79
63,CHEMBL3403243,CHEMBL3403242,CHEMBL3405734,34.88,IC50,17.26
76,CHEMBL3403243,CHEMBL3403242,CHEMBL3405737,19.74,IC50,9.79
89,CHEMBL3403254,CHEMBL3403242,CHEMBL3405734,20.52,IC50,17.26
102,CHEMBL3403254,CHEMBL3403242,CHEMBL3405737,9.84,IC50,9.79
116,CHEMBL3403279,CHEMBL3403266,CHEMBL3405734,45.92,IC50,12.7
129,CHEMBL3403279,CHEMBL3403266,CHEMBL3405737,23.54,IC50,9.4
142,CHEMBL3403267,CHEMBL3403266,CHEMBL3405734,29.81,IC50,12.7
155,CHEMBL3403267,CHEMBL3403266,CHEMBL3405737,16.72,IC50,9.4
168,CHEMBL3403278,CHEMBL3403266,CHEMBL3405734,68.22,IC50,12.7
181,CHEMBL3403278,CHEMBL3403266,CHEMBL3405737,39.44,IC50,9.4
195,CHEMBL3400181,CHEMBL3403269,CHEMBL3405734,56.15,IC50,3.77
208,CHEMBL3400181,CHEMBL3403269,CHEMBL3405737,25.5,IC50,1.21
219,CHEMBL3403306,CHEMBL3403305,CHEMBL3404577,50.0,IC50,50.0
221,CHEMBL3403306,CHEMBL3403305,CHEMBL3404576,50.0,IC50,50.0
223,CHEMBL3403306,CHEMBL3403305,CHEMBL3404578,100.0,IC50,100.0
225,CHEMBL3403306,CHEMBL3403305,CHEMBL3404579,100.0,IC50,100.0
227,CHEMBL3403306,CHEMBL3403305,CHEMBL3404580,100.0,IC50,100.0
229,CHEMBL3403306,CHEMBL3403305,CHEMBL3404581,100.0,IC50,100.0
231,CHEMBL3403306,CHEMBL3403305,CHEMBL3404582,100.0,IC50,100.0
234,CHEMBL3403312,CHEMBL3403311,CHEMBL3404577,50.0,IC50,50.0
236,CHEMBL3403312,CHEMBL3403311,CHEMBL3404576,50.0,IC50,50.0
238,CHEMBL3403312,CHEMBL3403311,CHEMBL3404578,100.0,IC50,100.0
240,CHEMBL3403312,CHEMBL3403311,CHEMBL3404579,100.0,IC50,100.0
242,CHEMBL3403312,CHEMBL3403311,CHEMBL3404580,100.0,IC50,100.0
244,CHEMBL3403312,CHEMBL3403311,CHEMBL3404581,100.0,IC50,100.0
246,CHEMBL3403312,CHEMBL3403311,CHEMBL3404582,100.0,IC50,100.0
259,CHEMBL136562,CHEMBL136333,CHEMBL880016,16.0,IC50,730.0
265,CHEMBL136562,CHEMBL136333,CHEMBL671129,82.0,IC50,2800.0
272,CHEMBL3403398,CHEMBL3403397,CHEMBL3407001,75.2,IC50,35.2
274,CHEMBL3403398,CHEMBL3403397,CHEMBL3407002,25.2,IC50,17.67
276,CHEMBL3403398,CHEMBL3403397,CHEMBL3407003,42.26,IC50,18.34
278,CHEMBL3403399,CHEMBL3403397,CHEMBL3407001,66.88,IC50,35.2
280,CHEMBL3403399,CHEMBL3403397,CHEMBL3407002,18.23,IC50,17.67
282,CHEMBL3403399,CHEMBL3403397,CHEMBL3407003,20.65,IC50,18.34
285,CHEMBL3403412,CHEMBL3403410,CHEMBL3407001,52.27,IC50,48.92
287,CHEMBL3403412,CHEMBL3403410,CHEMBL3407002,36.99,IC50,13.53
289,CHEMBL3403412,CHEMBL3403410,CHEMBL3407003,37.34,IC50,25.25
291,CHEMBL3403411,CHEMBL3403410,CHEMBL3407001,34.63,IC50,48.92
293,CHEMBL3403411,CHEMBL3403410,CHEMBL3407002,25.17,IC50,13.53
295,CHEMBL3403411,CHEMBL3403410,CHEMBL3407003,28.53,IC50,25.25
296,CHEMBL3402291,CHEMBL3402288,CHEMBL3406577,10.52,IC50,51.8
301,CHEMBL3402291,CHEMBL3402288,CHEMBL3406576,23.08,IC50,8.11
306,CHEMBL3402517,CHEMBL3402516,CHEMBL3405562,7.6,IC50,9.5
308,CHEMBL109865,CHEMBL110661,CHEMBL644305,6150.0,IC50,10000.0
310,CHEMBL109865,CHEMBL110661,CHEMBL878705,3.75,IC50,4.5
312,CHEMBL322815,CHEMBL110661,CHEMBL644305,10000.0,IC50,10000.0
314,CHEMBL322815,CHEMBL110661,CHEMBL878705,2.1,IC50,4.5
316,CHEMBL378854,CHEMBL213884,CHEMBL854523,100.0,IC50,8.5
322,CHEMBL215674,CHEMBL213884,CHEMBL854523,9.0,IC50,8.5
326,CHEMBL213476,CHEMBL213884,CHEMBL854523,47.0,IC50,8.5
330,CHEMBL3402786,CHEMBL3402781,CHEMBL3404732,433.9,IC50,1740.9
334,CHEMBL3402786,CHEMBL3402781,CHEMBL3404734,1450.8,IC50,1740.9
338,CHEMBL3402786,CHEMBL3402781,CHEMBL3404736,22.8,IC50,67.3
342,CHEMBL3402788,CHEMBL3402781,CHEMBL3404732,514.8,IC50,1740.9
346,CHEMBL3402788,CHEMBL3402781,CHEMBL3404734,1774.8,IC50,1740.9
350,CHEMBL3402788,CHEMBL3402781,CHEMBL3404736,22.5,IC50,67.3
354,CHEMBL3402787,CHEMBL3402781,CHEMBL3404732,613.2,IC50,1740.9
358,CHEMBL3402787,CHEMBL3402781,CHEMBL3404734,1516.8,IC50,1740.9
362,CHEMBL3402787,CHEMBL3402781,CHEMBL3404736,64.8,IC50,67.3
366,CHEMBL1165442,CHEMBL1164274,CHEMBL1167968,9.0,IC50,70.0
367,CHEMBL1164007,CHEMBL1164274,CHEMBL1167968,9.0,IC50,70.0
368,CHEMBL97946,CHEMBL98943,CHEMBL819324,0.03,IC50,0.1
370,CHEMBL97946,CHEMBL98943,CHEMBL821143,40.0,IC50,100.0
385,CHEMBL327504,CHEMBL319165,CHEMBL712593,430.0,IC50,400.0
388,CHEMBL327504,CHEMBL319165,CHEMBL802897,2.3,IC50,7.8
392,CHEMBL322240,CHEMBL444805,CHEMBL877861,100.0,IC50,258.11
393,CHEMBL322240,CHEMBL444805,CHEMBL769645,0.0316,IC50,0.0042
397,CHEMBL117793,CHEMBL424066,CHEMBL810248,3.0,IC50,0.08
400,CHEMBL117793,CHEMBL424066,CHEMBL812394,0.011,IC50,0.06
404,CHEMBL1584249,CHEMBL1383665,CHEMBL2114748,118.562,IC50,118.575
410,CHEMBL1584249,CHEMBL1383665,CHEMBL2114749,83.289,IC50,83.299
416,CHEMBL1584249,CHEMBL1383665,CHEMBL2114814,0.7851,IC50,3.383
460,CHEMBL3417061,CHEMBL3417057,CHEMBL3419515,10.0,IC50,10.0
462,CHEMBL3417059,CHEMBL3417057,CHEMBL3419515,10.0,IC50,10.0
464,CHEMBL3417069,CHEMBL3417057,CHEMBL3419515,10.0,IC50,10.0
466,CHEMBL3417070,CHEMBL3417057,CHEMBL3419515,10.0,IC50,10.0
472,CHEMBL1165574,CHEMBL275362,CHEMBL2338836,7.81,IC50,7.14
